eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,356000,,,,,0.0003,14802,2.6043149556606472e-12,14,23991,356,4.742357527187329,126.94094209000001,517,1000.0,126.9,7396,281,4.742357527187329,662200,14.238826,0.0014315112,0.3169898
,,,,360000,,,,,0.0003,14994,2.3017276552266683e-12,14,24284,360,5.175239491500431,126.93842830000003,522,1000.0,126.9,7486,285,5.175239491500431,670200,14.260346,0.0011192232,0.30662492
4.2993197146049225,1000.0,131.81324554545458,22,360001,31.41655897339722,14.370404,4.2993197,129.4,,,,,,,,,,,,,,,,,,
,,,,364000,,,,,0.0003,15186,2.601203758481528e-12,14,24596,364,4.607832714367163,127.08321604000002,528,1000.0,127.1,7572,288,4.607832714367163,678200,14.408428,0.0010480914,0.29109073
,,,,368000,,,,,0.0003,15377,2.4693627713979215e-12,14,24885,368,4.5790324520368415,127.13695132999997,534,1000.0,127.1,7660,292,4.5790324520368415,686200,14.293533,0.0011661464,0.29567754
4.505492873200272,1000.0,130.69040963636365,23,370001,31.27900550602487,14.477912,4.5054936,129.4,,,,,,,,,,,,,,,,,,
,,,,372000,,,,,0.0003,15568,2.521028914596552e-12,14,25199,372,4.708074192475601,127.2135171,540,1000.0,127.2,7748,295,4.708074192475601,694200,14.318393,0.0010786041,0.2807656
,,,,376000,,,,,0.0003,15758,2.3273202095949735e-12,14,25487,376,4.6498263056712785,127.04035555999997,546,1000.0,127.0,7836,298,4.6498263056712785,702200,14.257879,0.0010076824,0.24733192
,,,,380000,,,,,0.0003,15951,2.372265544468846e-12,14,25782,380,4.608320845257893,126.90699649,551,1000.0,126.9,7927,301,4.608320845257893,710200,14.247158,0.00096192496,0.2589675
4.505034388907447,1000.0,128.51478354545455,23,380001,31.03868792326199,14.283683,4.5050344,129.3,,,,,,,,,,,,,,,,,,
,,,,384000,,,,,0.0003,16147,2.3557840244765657e-12,14,26101,384,4.60808768226762,126.82208625000003,557,1000.0,126.8,8017,305,4.60808768226762,718200,14.325654,0.0013347759,0.2768619
,,,,388000,,,,,0.0003,16344,2.4578316980622034e-12,14,26398,388,4.611742713277688,126.75547882000002,563,1000.0,126.8,8106,308,4.611742713277688,726200,14.3410425,0.0010771335,0.2791548
4.440496336061785,1000.0,128.8604150909091,22,390001,31.417200564618373,14.216235,4.4404964,129.3,,,,,,,,,,,,,,,,,,
,,,,392000,,,,,0.0003,16539,2.3956450369331637e-12,14,26718,392,4.749293268548063,126.58534953,568,1000.0,126.6,8198,311,4.749293268548063,734200,14.397326,0.0007115605,0.19579738
,,,,396000,,,,,0.0003,16735,2.6964197063590517e-12,14,27013,396,4.634161524006713,126.56077582000002,574,1000.0,126.6,8286,315,4.634161524006713,742200,14.433927,0.0008010026,0.24306346
,,,,400000,,,,,0.0003,16922,2.6473586618483164e-12,14,27306,400,4.607947078460823,126.68968832,580,1000.0,126.7,8382,318,4.607947078460823,750200,14.436261,0.0007355602,0.20115021
4.438571821007649,1000.0,130.92541872727273,23,400001,31.423276996239906,14.420211,4.438572,129.8,,,,,,,,,,,,,,,,,,
